Ticker,Company,Volume,Open Price,Current,Change
AAVL,Alien Aisha Vending Ltd.,"1,900",31,32,+3.23%
ACFI,Achyfi Enterprises,"3,000",52,57,+9.62%
BB,Breadmaster Bakeries,0,12,13,+8.33%
BBBB,Bobs Big Bonus Bingo,"4,500",7,12,+71.43%
BODA,Boda Furnishings Inc,0,12,10,-16.67%
BOOM,Boom Boxes!,"1,000",31,31,0%
BOTT,Balthazar's Faerie Bottling Inc.,0,41,39,-4.88%
BUZZ,Buzz-A-Way Insect Removal,"2,000",74,80,+8.11%
CHIA,Chia Steel Holdings,0,31,33,+6.45%
CHPS,Chiatech Password Security,"12,000",8,11,+37.50%
COFL,Confederation of Fish Lovers,"1,000",141,137,-2.84%
CYBU,Cybun Electromatics,0,37,34,-8.11%
DROO,Dice-A-Roo Industries PLC.,"16,000",17,18,+5.88%
DUNG,Dung Master,"18,000",6,6,0%
EEEE,EURGH!!! Ltd.,"169,300",18,15,-16.67%
FAER,Faerie Clothing Ltd.,"3,000",24,24,0%
FISH,Fish Pops!,0,33,31,-6.06%
FUZZ,Fuzz-I-Ow! Plasters and Bandages,0,14,14,0%
GG,Grundo Galactic,"14,000",17,14,-17.65%
GORM,Gorm Corp,0,23,28,+21.74%
GWH,Grundo Warehouse Mint,0,20,21,+5.00%
HAKA,Hakaheke Island Flights,"2,500",6,9,+50.00%
HELT,Health Frog Groceries,"23,500",16,11,-31.25%
HUW,Huberts Hot Dogs,"1,000",25,26,+4.00%
JCK,Jacko and Sons Painting Ltd.,0,13,10,-23.08%
KATE,Kacheek Telecommunications,"2,000",22,17,-22.73%
KAUF,Kau-Kau Farm,"1,000",99,97,-2.02%
KBAT,Kor-Bat Cricket Supplies,0,26,19,-26.92%
KSON,Kacheek and Sons Landscaping,"1,000",196,190,-3.06%
LDSC,Lost Desert Scratchcards,0,297,309,+4.04%
LUPE,Lupe Consolidated,"72,300",17,17,0%
MP,Meridell Potato Company,0,59,57,-3.39%
MYNC,Mynci Banana Imports,"2,000",50,41,-18.00%
NAI,Neopen AI,"5,000",10,7,-30.00%
NAKR,Nakron,"1,000",137,133,-2.92%
NATN,The National Neopian Bank,"1,000",8,7,-12.50%
NEGG,Neggwork Commerce,"1,000",74,71,-4.05%
NST,NeoSCOOL Technologies,0,27,26,-3.70%
NTV,Neopian TV Channel One,"2,100",103,88,-14.56%
NUG,Nugget Petz,0,8,13,+62.50%
PDSS,PD Secure Storage,"2,000",32,35,+9.38%
PEOP,Peophin Water Parks!,"130,005",14,17,+21.43%
POWR,Power-X Corp.,0,35,39,+11.43%
SHRX,Shoyrux Enterprises,"1,000",107,97,-9.35%
SILL,Silly Squirrel Incorporated,"1,500",18,26,+44.44%
SKBD,Skeith Bodyguards Inc.,"1,000",20,21,+5.00%
SKEI,Skeith Feeding Ltd.,"1,000",104,108,+3.85%
SMUG,The Smugglers Cove,"1,000",20,18,-10.00%
SSGS,Meri Acre Sausages,"1,000",39,40,+2.56%
SSS,Super Splime Shakes,"2,100",703,702,-0.14%
STFP,Stuff-A-Pet Inc.,"3,000",269,300,+11.52%
SWNC,Shop Wizard N-Commerce,0,28,27,-3.57%
TAG,The Auction Genie,0,32,31,-3.12%
TCAG,The Chia Actors Guild,"1,000",52,77,+48.08%
TEFV,Techrobatics Fitness Videos,0,34,36,+5.88%
TGG,The Grundo Gazette,"26,400",20,16,-20.00%
TNAH,The Neopian Auction House,0,53,57,+7.55%
TPEG,Theme Park Entertainers Guild,"2,000",6,7,+16.67%
TPP,The Presidential Palace,"1,000",141,146,+3.55%
TSRC,The Shoyru Company,"1,000",108,107,-0.93%
TYP,Tyrannia Psychics,"1,000",28,32,+14.29%
UNIB,Unis Beauty Salon,24,26,26,0%
VPTS,Virtupets,"8,000",7,11,+57.14%
WERE,Werelupe Way,"9,000",8,6,-25.00%
WISH,Wish Witch Wishing Co.,"4,000",13,13,0%
YIPP,Yippee!,0,44,43,-2.27%
