Ticker,Company,Volume,Open Price,Current,Change
AAVL,Alien Aisha Vending Ltd.,"2,000",49,48,-2.04%
ACFI,Achyfi Enterprises,"1,000",33,37,+12.12%
BB,Breadmaster Bakeries,"2,000",21,21,0%
BBBB,Bobs Big Bonus Bingo,0,7,7,0%
BODA,Boda Furnishings Inc,"35,500",20,15,-25.00%
BOOM,Boom Boxes!,"2,000",8,10,+25.00%
BOTT,Balthazar's Faerie Bottling Inc.,"1,000",138,149,+7.97%
BUZZ,Buzz-A-Way Insect Removal,"1,000",48,48,0%
CHIA,Chia Steel Holdings,"1,000",8,15,+87.50%
CHPS,Chiatech Password Security,0,21,22,+4.76%
COFL,Confederation of Fish Lovers,"1,000",169,172,+1.78%
CYBU,Cybun Electromatics,"1,000",37,40,+8.11%
DROO,Dice-A-Roo Industries PLC.,"2,000",24,19,-20.83%
DUNG,Dung Master,"26,000",16,15,-6.25%
EEEE,EURGH!!! Ltd.,0,8,8,0%
FAER,Faerie Clothing Ltd.,0,11,13,+18.18%
FISH,Fish Pops!,"95,500",18,16,-11.11%
FUZZ,Fuzz-I-Ow! Plasters and Bandages,0,28,28,0%
GG,Grundo Galactic,"2,000",6,7,+16.67%
GORM,Gorm Corp,0,19,18,-5.26%
GWH,Grundo Warehouse Mint,"4,000",8,8,0%
HAKA,Hakaheke Island Flights,"81,500",16,21,+31.25%
HELT,Health Frog Groceries,"2,000",74,84,+13.51%
HUW,Huberts Hot Dogs,0,59,52,-11.86%
JCK,Jacko and Sons Painting Ltd.,"45,300",11,13,+18.18%
KATE,Kacheek Telecommunications,"2,000",28,20,-28.57%
KAUF,Kau-Kau Farm,"1,000",94,95,+1.06%
KBAT,Kor-Bat Cricket Supplies,"1,000",20,29,+45.00%
KSON,Kacheek and Sons Landscaping,"2,000",179,178,-0.56%
LDSC,Lost Desert Scratchcards,"2,000",298,256,-14.09%
LUPE,Lupe Consolidated,"48,000",15,12,-20.00%
MP,Meridell Potato Company,0,40,40,0%
MYNC,Mynci Banana Imports,500,145,142,-2.07%
NAI,Neopen AI,"42,000",9,15,+66.67%
NAKR,Nakron,0,108,103,-4.63%
NATN,The National Neopian Bank,"4,069",17,20,+17.65%
NEGG,Neggwork Commerce,0,30,38,+26.67%
NST,NeoSCOOL Technologies,0,56,59,+5.36%
NTV,Neopian TV Channel One,0,49,54,+10.20%
NUG,Nugget Petz,"7,000",18,18,0%
PDSS,PD Secure Storage,"65,000",14,13,-7.14%
PEOP,Peophin Water Parks!,"14,500",13,16,+23.08%
POWR,Power-X Corp.,0,29,33,+13.79%
SHRX,Shoyrux Enterprises,0,118,127,+7.63%
SILL,Silly Squirrel Incorporated,0,31,24,-22.58%
SKBD,Skeith Bodyguards Inc.,"59,000",15,9,-40.00%
SKEI,Skeith Feeding Ltd.,0,131,147,+12.21%
SMUG,The Smugglers Cove,0,25,33,+32.00%
SSGS,Meri Acre Sausages,0,49,41,-16.33%
SSS,Super Splime Shakes,0,704,710,+0.85%
STFP,Stuff-A-Pet Inc.,"1,300",263,270,+2.66%
SWNC,Shop Wizard N-Commerce,"1,000",35,33,-5.71%
TAG,The Auction Genie,0,31,36,+16.13%
TCAG,The Chia Actors Guild,0,101,109,+7.92%
TEFV,Techrobatics Fitness Videos,"2,000",18,20,+11.11%
TGG,The Grundo Gazette,0,8,11,+37.50%
TNAH,The Neopian Auction House,"1,000",102,102,0%
TPEG,Theme Park Entertainers Guild,0,10,13,+30.00%
TPP,The Presidential Palace,500,208,209,+0.48%
TSRC,The Shoyru Company,0,71,79,+11.27%
TYP,Tyrannia Psychics,"26,000",17,11,-35.29%
UNIB,Unis Beauty Salon,0,12,12,0%
VPTS,Virtupets,0,11,6,-45.45%
WERE,Werelupe Way,"1,500",14,14,0%
WISH,Wish Witch Wishing Co.,"1,000",19,23,+21.05%
YIPP,Yippee!,0,30,19,-36.67%
