Ticker,Company,Volume,Open Price,Current,Change
AAVL,Alien Aisha Vending Ltd.,0,19,19,0%
ACFI,Achyfi Enterprises,0,50,57,+14.00%
BB,Breadmaster Bakeries,0,54,48,-11.11%
BBBB,Bobs Big Bonus Bingo,"1,000",19,20,+5.26%
BODA,Boda Furnishings Inc,0,12,11,-8.33%
BOOM,Boom Boxes!,0,8,6,-25.00%
BOTT,Balthazar's Faerie Bottling Inc.,"1,000",152,155,+1.97%
BUZZ,Buzz-A-Way Insect Removal,0,64,55,-14.06%
CHIA,Chia Steel Holdings,0,51,56,+9.80%
CHPS,Chiatech Password Security,0,33,40,+21.21%
COFL,Confederation of Fish Lovers,0,171,171,0%
CYBU,Cybun Electromatics,0,57,54,-5.26%
DROO,Dice-A-Roo Industries PLC.,"68,500",15,17,+13.33%
DUNG,Dung Master,0,11,11,0%
EEEE,EURGH!!! Ltd.,0,19,19,0%
FAER,Faerie Clothing Ltd.,"1,000",20,20,0%
FISH,Fish Pops!,0,23,20,-13.04%
FUZZ,Fuzz-I-Ow! Plasters and Bandages,0,34,36,+5.88%
GG,Grundo Galactic,0,6,7,+16.67%
GORM,Gorm Corp,0,6,7,+16.67%
GWH,Grundo Warehouse Mint,0,8,8,0%
HAKA,Hakaheke Island Flights,"2,000",18,19,+5.56%
HELT,Health Frog Groceries,0,70,77,+10.00%
HUW,Huberts Hot Dogs,0,57,55,-3.51%
JCK,Jacko and Sons Painting Ltd.,0,12,11,-8.33%
KATE,Kacheek Telecommunications,"2,000",19,16,-15.79%
KAUF,Kau-Kau Farm,0,46,46,0%
KBAT,Kor-Bat Cricket Supplies,0,34,34,0%
KSON,Kacheek and Sons Landscaping,"1,000",185,187,+1.08%
LDSC,Lost Desert Scratchcards,0,318,315,-0.94%
LUPE,Lupe Consolidated,0,6,6,0%
MP,Meridell Potato Company,0,48,54,+12.50%
MYNC,Mynci Banana Imports,"1,000",123,118,-4.07%
NAI,Neopen AI,"12,000",18,17,-5.56%
NAKR,Nakron,0,117,122,+4.27%
NATN,The National Neopian Bank,0,7,6,-14.29%
NEGG,Neggwork Commerce,0,30,30,0%
NST,NeoSCOOL Technologies,0,61,61,0%
NTV,Neopian TV Channel One,0,120,121,+0.83%
NUG,Nugget Petz,"3,000",17,16,-5.88%
PDSS,PD Secure Storage,0,25,23,-8.00%
PEOP,Peophin Water Parks!,0,7,7,0%
POWR,Power-X Corp.,0,19,18,-5.26%
SHRX,Shoyrux Enterprises,0,116,122,+5.17%
SILL,Silly Squirrel Incorporated,0,12,11,-8.33%
SKBD,Skeith Bodyguards Inc.,0,20,18,-10.00%
SKEI,Skeith Feeding Ltd.,0,188,188,0%
SMUG,The Smugglers Cove,0,54,58,+7.41%
SSGS,Meri Acre Sausages,0,57,59,+3.51%
SSS,Super Splime Shakes,0,755,757,+0.26%
STFP,Stuff-A-Pet Inc.,"1,000",273,271,-0.73%
SWNC,Shop Wizard N-Commerce,"1,000",23,23,0%
TAG,The Auction Genie,0,33,38,+15.15%
TCAG,The Chia Actors Guild,0,68,76,+11.76%
TEFV,Techrobatics Fitness Videos,"9,000",18,16,-11.11%
TGG,The Grundo Gazette,"1,000",14,17,+21.43%
TNAH,The Neopian Auction House,0,56,54,-3.57%
TPEG,Theme Park Entertainers Guild,0,20,18,-10.00%
TPP,The Presidential Palace,0,198,202,+2.02%
TSRC,The Shoyru Company,"2,000",57,55,-3.51%
TYP,Tyrannia Psychics,0,12,10,-16.67%
UNIB,Unis Beauty Salon,0,18,19,+5.56%
VPTS,Virtupets,0,9,6,-33.33%
WERE,Werelupe Way,"47,500",16,14,-12.50%
WISH,Wish Witch Wishing Co.,0,14,14,0%
YIPP,Yippee!,0,12,13,+8.33%
