Ticker,Company,Volume,Open Price,Current,Change
AAVL,Alien Aisha Vending Ltd.,"4,050",29,23,-20.69%
ACFI,Achyfi Enterprises,"1,000",28,32,+14.29%
BB,Breadmaster Bakeries,0,10,9,-10.00%
BBBB,Bobs Big Bonus Bingo,"13,000",8,8,0%
BODA,Boda Furnishings Inc,"20,000",12,14,+16.67%
BOOM,Boom Boxes!,"8,010",17,18,+5.88%
BOTT,Balthazar's Faerie Bottling Inc.,0,22,23,+4.55%
BUZZ,Buzz-A-Way Insect Removal,"1,000",80,71,-11.25%
CHIA,Chia Steel Holdings,0,30,23,-23.33%
CHPS,Chiatech Password Security,"8,000",19,10,-47.37%
COFL,Confederation of Fish Lovers,"1,000",125,131,+4.80%
CYBU,Cybun Electromatics,0,37,43,+16.22%
DROO,Dice-A-Roo Industries PLC.,"75,250",17,13,-23.53%
DUNG,Dung Master,"43,633",15,8,-46.67%
EEEE,EURGH!!! Ltd.,0,24,29,+20.83%
FAER,Faerie Clothing Ltd.,"40,454",15,17,+13.33%
FISH,Fish Pops!,500,32,26,-18.75%
FUZZ,Fuzz-I-Ow! Plasters and Bandages,"2,000",28,25,-10.71%
GG,Grundo Galactic,"27,790",17,17,0%
GORM,Gorm Corp,"1,000",7,11,+57.14%
GWH,Grundo Warehouse Mint,"1,000",22,20,-9.09%
HAKA,Hakaheke Island Flights,"29,000",13,10,-23.08%
HELT,Health Frog Groceries,"85,521",16,13,-18.75%
HUW,Huberts Hot Dogs,0,25,25,0%
JCK,Jacko and Sons Painting Ltd.,0,8,11,+37.50%
KATE,Kacheek Telecommunications,0,14,11,-21.43%
KAUF,Kau-Kau Farm,0,87,102,+17.24%
KBAT,Kor-Bat Cricket Supplies,0,36,37,+2.78%
KSON,Kacheek and Sons Landscaping,"1,000",234,249,+6.41%
LDSC,Lost Desert Scratchcards,0,246,267,+8.54%
LUPE,Lupe Consolidated,"1,000",19,17,-10.53%
MP,Meridell Potato Company,0,40,56,+40.00%
MYNC,Mynci Banana Imports,"3,000",66,60,-9.09%
NAI,Neopen AI,0,9,8,-11.11%
NAKR,Nakron,"1,000",120,124,+3.33%
NATN,The National Neopian Bank,"15,000",15,12,-20.00%
NEGG,Neggwork Commerce,0,71,77,+8.45%
NST,NeoSCOOL Technologies,500,29,23,-20.69%
NTV,Neopian TV Channel One,"1,000",87,100,+14.94%
NUG,Nugget Petz,"10,000",8,9,+12.50%
PDSS,PD Secure Storage,0,30,25,-16.67%
PEOP,Peophin Water Parks!,0,10,12,+20.00%
POWR,Power-X Corp.,"1,000",28,35,+25.00%
SHRX,Shoyrux Enterprises,"1,000",95,101,+6.32%
SILL,Silly Squirrel Incorporated,0,10,14,+40.00%
SKBD,Skeith Bodyguards Inc.,"25,009",20,16,-20.00%
SKEI,Skeith Feeding Ltd.,0,109,110,+0.92%
SMUG,The Smugglers Cove,"10,500",10,16,+60.00%
SSGS,Meri Acre Sausages,0,40,37,-7.50%
SSS,Super Splime Shakes,"2,400",688,716,+4.07%
STFP,Stuff-A-Pet Inc.,"2,000",277,259,-6.50%
SWNC,Shop Wizard N-Commerce,"1,000",31,32,+3.23%
TAG,The Auction Genie,0,39,42,+7.69%
TCAG,The Chia Actors Guild,"1,000",54,61,+12.96%
TEFV,Techrobatics Fitness Videos,"1,000",28,23,-17.86%
TGG,The Grundo Gazette,0,23,26,+13.04%
TNAH,The Neopian Auction House,"1,000",52,44,-15.38%
TPEG,Theme Park Entertainers Guild,0,14,10,-28.57%
TPP,The Presidential Palace,0,134,142,+5.97%
TSRC,The Shoyru Company,"3,000",114,116,+1.75%
TYP,Tyrannia Psychics,"2,020",42,28,-33.33%
UNIB,Unis Beauty Salon,0,24,33,+37.50%
VPTS,Virtupets,"30,633",16,11,-31.25%
WERE,Werelupe Way,"49,500",14,11,-21.43%
WISH,Wish Witch Wishing Co.,"11,000",10,10,0%
YIPP,Yippee!,960,39,39,0%
