Ticker,Company,Volume,Open Price,Current,Change
AAVL,Alien Aisha Vending Ltd.,"1,000",35,30,-14.29%
ACFI,Achyfi Enterprises,"1,000",55,55,0%
BB,Breadmaster Bakeries,0,40,43,+7.50%
BBBB,Bobs Big Bonus Bingo,0,7,6,-14.29%
BODA,Boda Furnishings Inc,0,11,11,0%
BOOM,Boom Boxes!,0,8,8,0%
BOTT,Balthazar's Faerie Bottling Inc.,0,143,153,+6.99%
BUZZ,Buzz-A-Way Insect Removal,0,54,53,-1.85%
CHIA,Chia Steel Holdings,0,38,40,+5.26%
CHPS,Chiatech Password Security,0,19,20,+5.26%
COFL,Confederation of Fish Lovers,0,152,152,0%
CYBU,Cybun Electromatics,0,41,41,0%
DROO,Dice-A-Roo Industries PLC.,0,20,20,0%
DUNG,Dung Master,0,22,19,-13.64%
EEEE,EURGH!!! Ltd.,"13,700",15,10,-33.33%
FAER,Faerie Clothing Ltd.,"46,000",14,15,+7.14%
FISH,Fish Pops!,"1,000",19,18,-5.26%
FUZZ,Fuzz-I-Ow! Plasters and Bandages,"1,000",38,38,0%
GG,Grundo Galactic,0,9,14,+55.56%
GORM,Gorm Corp,0,11,10,-9.09%
GWH,Grundo Warehouse Mint,0,9,6,-33.33%
HAKA,Hakaheke Island Flights,0,16,11,-31.25%
HELT,Health Frog Groceries,0,65,70,+7.69%
HUW,Huberts Hot Dogs,0,75,77,+2.67%
JCK,Jacko and Sons Painting Ltd.,"49,500",13,18,+38.46%
KATE,Kacheek Telecommunications,"1,000",22,21,-4.55%
KAUF,Kau-Kau Farm,0,60,72,+20.00%
KBAT,Kor-Bat Cricket Supplies,"1,000",23,29,+26.09%
KSON,Kacheek and Sons Landscaping,"1,000",195,184,-5.64%
LDSC,Lost Desert Scratchcards,0,277,295,+6.50%
LUPE,Lupe Consolidated,0,11,10,-9.09%
MP,Meridell Potato Company,0,38,40,+5.26%
MYNC,Mynci Banana Imports,0,113,102,-9.73%
NAI,Neopen AI,0,30,31,+3.33%
NAKR,Nakron,0,115,127,+10.43%
NATN,The National Neopian Bank,0,9,8,-11.11%
NEGG,Neggwork Commerce,"1,000",36,31,-13.89%
NST,NeoSCOOL Technologies,0,54,67,+24.07%
NTV,Neopian TV Channel One,0,62,74,+19.35%
NUG,Nugget Petz,"56,150",15,16,+6.67%
PDSS,PD Secure Storage,"5,900",15,14,-6.67%
PEOP,Peophin Water Parks!,0,16,16,0%
POWR,Power-X Corp.,0,52,48,-7.69%
SHRX,Shoyrux Enterprises,0,108,110,+1.85%
SILL,Silly Squirrel Incorporated,0,24,27,+12.50%
SKBD,Skeith Bodyguards Inc.,"1,000",16,17,+6.25%
SKEI,Skeith Feeding Ltd.,"2,000",153,173,+13.07%
SMUG,The Smugglers Cove,0,53,61,+15.09%
SSGS,Meri Acre Sausages,100,32,39,+21.88%
SSS,Super Splime Shakes,0,711,721,+1.41%
STFP,Stuff-A-Pet Inc.,"1,000",272,274,+0.74%
SWNC,Shop Wizard N-Commerce,"2,000",23,16,-30.43%
TAG,The Auction Genie,"1,000",27,25,-7.41%
TCAG,The Chia Actors Guild,0,53,50,-5.66%
TEFV,Techrobatics Fitness Videos,"24,300",15,13,-13.33%
TGG,The Grundo Gazette,"60,200",15,12,-20.00%
TNAH,The Neopian Auction House,0,75,86,+14.67%
TPEG,Theme Park Entertainers Guild,0,20,19,-5.00%
TPP,The Presidential Palace,0,192,188,-2.08%
TSRC,The Shoyru Company,"1,000",81,86,+6.17%
TYP,Tyrannia Psychics,"13,500",18,16,-11.11%
UNIB,Unis Beauty Salon,"33,750",15,16,+6.67%
VPTS,Virtupets,0,12,11,-8.33%
WERE,Werelupe Way,"1,500",12,13,+8.33%
WISH,Wish Witch Wishing Co.,500,27,20,-25.93%
YIPP,Yippee!,0,13,13,0%
