Ticker,Company,Volume,Open Price,Current,Change
AAVL,Alien Aisha Vending Ltd.,"4,000",17,22,+29.41%
ACFI,Achyfi Enterprises,0,30,29,-3.33%
BB,Breadmaster Bakeries,"1,000",42,38,-9.52%
BBBB,Bobs Big Bonus Bingo,"1,000",21,18,-14.29%
BODA,Boda Furnishings Inc,"50,450",17,13,-23.53%
BOOM,Boom Boxes!,"72,000",13,15,+15.38%
BOTT,Balthazar's Faerie Bottling Inc.,0,142,144,+1.41%
BUZZ,Buzz-A-Way Insect Removal,0,51,53,+3.92%
CHIA,Chia Steel Holdings,0,33,32,-3.03%
CHPS,Chiatech Password Security,"1,000",53,45,-15.09%
COFL,Confederation of Fish Lovers,"1,000",171,157,-8.19%
CYBU,Cybun Electromatics,0,84,86,+2.38%
DROO,Dice-A-Roo Industries PLC.,"49,000",13,18,+38.46%
DUNG,Dung Master,0,9,14,+55.56%
EEEE,EURGH!!! Ltd.,0,7,12,+71.43%
FAER,Faerie Clothing Ltd.,200,28,22,-21.43%
FISH,Fish Pops!,0,13,10,-23.08%
FUZZ,Fuzz-I-Ow! Plasters and Bandages,0,8,7,-12.50%
GG,Grundo Galactic,0,20,19,-5.00%
GORM,Gorm Corp,"3,500",28,22,-21.43%
GWH,Grundo Warehouse Mint,"11,000",13,16,+23.08%
HAKA,Hakaheke Island Flights,"2,000",16,18,+12.50%
HELT,Health Frog Groceries,"1,000",111,105,-5.41%
HUW,Huberts Hot Dogs,"1,500",42,44,+4.76%
JCK,Jacko and Sons Painting Ltd.,0,7,10,+42.86%
KATE,Kacheek Telecommunications,0,39,45,+15.38%
KAUF,Kau-Kau Farm,"1,000",128,123,-3.91%
KBAT,Kor-Bat Cricket Supplies,0,14,11,-21.43%
KSON,Kacheek and Sons Landscaping,"1,000",148,147,-0.68%
LDSC,Lost Desert Scratchcards,0,354,343,-3.11%
LUPE,Lupe Consolidated,0,6,14,+133.33%
MP,Meridell Potato Company,0,35,31,-11.43%
MYNC,Mynci Banana Imports,0,153,142,-7.19%
NAI,Neopen AI,"1,000",17,16,-5.88%
NAKR,Nakron,"1,000",134,141,+5.22%
NATN,The National Neopian Bank,0,7,11,+57.14%
NEGG,Neggwork Commerce,"2,000",47,38,-19.15%
NST,NeoSCOOL Technologies,0,35,35,0%
NTV,Neopian TV Channel One,"1,000",72,62,-13.89%
NUG,Nugget Petz,0,12,11,-8.33%
PDSS,PD Secure Storage,"106,700",15,17,+13.33%
PEOP,Peophin Water Parks!,0,21,24,+14.29%
POWR,Power-X Corp.,0,13,10,-23.08%
SHRX,Shoyrux Enterprises,"1,000",106,113,+6.60%
SILL,Silly Squirrel Incorporated,0,33,40,+21.21%
SKBD,Skeith Bodyguards Inc.,0,35,37,+5.71%
SKEI,Skeith Feeding Ltd.,0,175,178,+1.71%
SMUG,The Smugglers Cove,0,98,114,+16.33%
SSGS,Meri Acre Sausages,"33,450",17,12,-29.41%
SSS,Super Splime Shakes,0,789,775,-1.77%
STFP,Stuff-A-Pet Inc.,"2,000",253,242,-4.35%
SWNC,Shop Wizard N-Commerce,400,20,19,-5.00%
TAG,The Auction Genie,0,28,28,0%
TCAG,The Chia Actors Guild,0,89,71,-20.22%
TEFV,Techrobatics Fitness Videos,0,8,9,+12.50%
TGG,The Grundo Gazette,"2,000",17,21,+23.53%
TNAH,The Neopian Auction House,"5,000",25,15,-40.00%
TPEG,Theme Park Entertainers Guild,"4,000",16,16,0%
TPP,The Presidential Palace,0,233,222,-4.72%
TSRC,The Shoyru Company,0,83,101,+21.69%
TYP,Tyrannia Psychics,"65,000",15,14,-6.67%
UNIB,Unis Beauty Salon,0,44,49,+11.36%
VPTS,Virtupets,0,13,8,-38.46%
WERE,Werelupe Way,"2,000",20,18,-10.00%
WISH,Wish Witch Wishing Co.,"35,500",14,13,-7.14%
YIPP,Yippee!,"1,000",24,22,-8.33%
